study_hours,screen_time,stress_level,physical_activity,number_of_courses,risk_score,burnout_risk
0.8,2.9,8,13.8,6,4.53,low
0.7,2.4,10,10.9,6,5.62,low
9.9,1.9,4,13.7,6,4.98,low
6.8,7.4,2,5.2,6,6.2,low
1.0,5.5,1,9.1,6,2.24,low
0.8,9.9,2,10.4,6,3.15,low
8.8,5.1,9,1.6,6,10.38,medium
8.8,2.8,7,10.9,6,6.02,low
6.5,0.4,1,2.8,6,4.34,low
5.7,5.9,6,1.7,6,8.12,low
2.7,3.3,5,13.2,6,3.91,low
6.8,9.1,3,6.6,6,6.42,low
7.5,8.8,1,4.9,6,6.06,low
9.6,6.5,9,0.5,6,11.71,medium
4.9,4.8,5,5.1,6,6.41,low
4.6,5.8,3,10.1,6,3.89,low
9.3,7.5,7,12.9,6,7.22,low
3.3,3.4,5,0.9,6,7.04,low
6.8,8.5,5,4.0,6,8.06,medium
8.0,5.5,2,9.8,6,4.65,low
6.2,8.4,10,12.4,6,8.4,low
5.7,0.9,10,13.1,6,7.01,low
4.1,2.6,4,11.5,6,2.84,low
9.1,8.2,10,2.9,6,12.05,medium
5.3,7.5,1,12.5,6,3.23,low
3.9,5.3,8,10.7,6,5.33,low
2.2,1.6,10,4.7,6,8.06,low
6.3,6.6,7,0.1,6,9.61,medium
5.1,8.2,4,13.8,6,4.84,low
6.1,5.3,4,1.0,6,7.69,low
9.0,5.1,9,1.1,6,9.59,medium
8.2,9.7,7,11.1,6,9.73,medium
6.9,9.1,5,12.1,6,6.29,low
9.1,7.2,9,0.2,6,11.37,medium
7.0,7.8,5,6.4,6,7.17,low
5.4,0.4,7,1.9,6,6.66,low
9.3,8.5,1,4.7,6,6.37,low
5.5,2.4,10,2.5,6,9.54,medium
3.1,7.6,4,6.2,6,5.51,low
1.3,5.2,6,5.3,6,6.85,low
5.9,6.4,1,3.1,6,5.54,low
3.1,6.9,3,4.3,6,5.57,low
0.9,1.4,1,7.6,6,1.84,low
2.4,1.8,3,0.9,6,4.83,low
4.6,3.4,7,6.7,6,6.33,low
9.9,7.5,10,4.4,6,10.94,medium
9.5,1.8,7,0.0,6,9.62,medium
1.3,4.2,9,10.4,6,6.52,low
7.2,9.4,5,12.0,6,6.67,low
4.9,6.1,10,5.2,6,9.21,medium
0.3,8.0,6,13.6,6,3.85,low
8.3,7.0,4,5.5,6,7.25,low
0.4,4.4,4,0.6,6,5.97,low
4.2,6.1,1,2.2,6,4.99,low
7.6,3.5,8,9.3,6,7.0,low
3.3,1.1,10,7.3,6,7.75,low
8.6,8.4,1,8.6,6,5.3,low
3.1,1.9,4,1.5,6,5.45,low
9.8,3.1,2,10.5,6,4.84,low
9.8,3.4,5,6.7,6,7.9,low
8.9,0.4,6,10.8,6,6.21,low
2.2,2.5,9,5.4,6,7.05,low
7.3,2.3,4,11.3,6,4.18,low
5.3,4.6,10,7.7,6,7.24,low
4.0,0.8,8,5.9,6,6.55,low
8.7,1.9,3,8.1,6,5.52,low
5.4,7.4,3,3.1,6,6.31,low
8.5,0.8,2,1.4,6,5.91,low
1.8,9.0,6,4.2,6,6.57,low
8.1,9.0,2,0.1,6,7.51,low
2.2,7.5,5,3.2,6,6.56,low
6.9,5.2,2,8.7,6,4.47,low
2.9,8.8,2,3.3,6,5.91,low
7.9,0.5,10,5.7,6,8.43,low
3.7,9.7,9,9.1,6,8.11,low
4.7,9.0,9,1.4,6,9.99,medium
4.9,8.3,2,2.4,6,6.33,low
9.0,2.6,2,1.0,6,6.49,low
2.9,1.9,2,8.8,6,2.35,low
9.4,2.3,8,3.9,6,8.62,medium
6.1,5.7,8,5.7,6,8.36,low
5.9,4.2,9,0.0,6,10.74,medium
0.8,7.3,1,10.2,6,2.3,low
4.6,2.8,1,7.9,6,2.71,low
3.7,7.0,9,5.9,6,8.21,low
5.3,1.7,8,6.1,6,6.95,low
5.7,2.5,10,9.7,6,7.08,low
6.9,6.7,6,13.7,6,6.32,low
0.4,7.6,10,8.3,6,6.77,low
3.6,4.2,7,1.7,6,6.67,low
2.3,5.1,6,13.1,6,4.1,low
4.3,5.2,9,1.5,6,9.78,medium
4.6,5.2,6,6.1,6,6.0,low
7.3,0.2,3,8.1,6,4.49,low
4.3,3.3,8,2.7,6,7.97,low
3.8,3.1,10,1.0,6,9.33,medium
1.4,1.9,3,10.0,6,2.75,low
6.0,7.9,3,8.5,6,5.24,low
9.2,7.9,7,10.3,6,8.23,low
5.8,9.9,7,9.8,6,6.59,low
7.0,4.2,10,11.5,6,7.34,low
9.2,5.3,9,0.5,6,10.55,medium
1.2,9.4,6,13.6,6,4.78,low
4.9,1.8,2,13.5,6,2.06,low
1.0,7.5,5,1.2,6,7.11,low
7.2,4.9,1,7.4,6,4.99,low
3.8,9.1,3,11.9,6,4.31,low
2.0,7.4,7,8.9,6,6.69,low
3.0,5.1,5,11.9,6,3.63,low
8.1,0.7,5,2.5,6,6.37,low
8.1,5.9,10,11.0,6,9.16,medium
3.5,7.6,4,13.1,6,4.26,low
0.7,6.0,2,4.7,6,4.07,low
1.3,8.2,3,5.2,6,4.44,low
4.7,5.0,10,12.1,6,7.2,low
8.1,3.4,5,11.6,6,5.39,low
5.9,1.5,10,10.7,6,7.46,low
8.2,8.9,1,6.6,6,5.81,low
6.4,0.9,6,11.7,6,4.77,low
9.4,5.0,1,0.0,6,7.3,low
2.4,2.6,10,9.0,6,6.37,low
7.3,0.3,3,1.4,6,6.14,low
2.6,2.3,6,12.1,6,4.42,low
3.9,3.0,2,1.8,6,4.81,low
4.3,6.1,8,5.6,6,7.69,low
5.6,4.1,3,2.1,6,6.0,low
9.8,6.6,4,7.7,6,6.99,low
4.1,7.7,8,10.4,6,7.43,low
6.5,7.1,4,13.3,6,4.8,low
3.3,8.6,5,11.8,6,4.65,low
2.9,5.2,10,3.8,6,8.88,low
2.1,7.8,1,3.0,6,4.65,low
8.5,5.4,10,3.3,6,11.26,medium
2.6,9.2,6,7.0,6,7.28,low
4.3,8.6,2,5.8,6,5.73,low
2.7,5.0,5,8.0,6,5.05,low
7.0,2.7,5,0.9,6,7.11,low
8.0,0.5,7,3.1,6,7.84,low
6.2,5.8,9,9.4,6,7.09,low
5.6,6.4,5,4.1,6,7.01,low
4.2,6.8,2,10.5,6,3.44,low
5.1,4.7,10,2.1,6,10.16,medium
6.8,2.2,9,9.3,6,7.44,low
0.9,6.0,7,3.4,6,6.81,low
3.7,9.5,1,4.1,6,5.39,low
3.5,1.1,9,7.2,6,6.08,low
7.2,1.6,8,1.3,6,8.41,low
0.7,2.0,6,2.7,6,5.14,low
9.2,2.8,3,5.1,6,5.89,low
6.1,2.2,1,9.8,6,3.0,low
