study_hours,screen_time,stress_level,physical_activity,number_of_courses,burnout_risk
8.3,6.3,7,4.9,4,medium
5.7,8.6,7,2.5,5,medium
1.6,7.4,4,6.1,4,low
4.6,4.7,8,7.0,6,medium
2.2,3.4,5,8.3,6,low
7.0,1.6,1,8.8,5,low
5.5,8.5,3,3.7,2,low
3.2,4.0,7,3.5,2,low
8.1,2.4,10,10.4,6,medium
3.0,4.0,5,0.5,6,low
4.8,8.9,5,5.1,4,low
3.4,3.2,9,2.2,4,medium
1.1,0.8,3,9.5,2,low
0.7,1.2,7,9.6,1,low
10.0,8.5,4,11.0,2,low
5.3,5.1,8,1.7,4,medium
5.9,8.3,2,9.9,1,low
5.1,9.5,8,8.0,8,medium
9.7,4.3,10,3.5,2,medium
3.8,7.3,5,2.5,2,low
8.2,3.5,4,11.9,8,low
4.5,5.3,2,3.9,7,low
7.2,7.1,6,2.4,7,medium
6.5,9.7,7,12.0,2,low
9.7,3.3,5,3.8,6,medium
0.6,4.9,10,11.3,8,low
5.6,6.5,10,0.4,1,medium
6.7,9.5,3,11.5,4,low
0.8,5.7,8,6.8,6,low
3.3,2.8,9,0.9,5,medium
0.5,4.0,4,6.0,8,low
1.6,9.9,9,0.5,7,medium
7.9,3.9,10,10.5,6,medium
2.1,0.9,9,6.0,4,low
3.1,5.8,9,1.3,2,medium
2.3,3.2,10,10.6,3,low
1.9,1.6,4,0.2,6,low
2.2,2.7,2,11.3,4,low
8.1,2.5,9,4.6,5,medium
5.5,5.4,10,6.2,8,medium
2.6,9.6,5,10.5,3,low
1.4,9.9,10,4.8,4,medium
6.1,8.0,5,10.6,5,low
0.5,8.7,6,10.7,8,low
5.7,9.8,8,12.4,5,medium
7.6,1.1,2,2.6,3,low
10.0,8.5,2,3.5,6,medium
6.7,6.4,7,9.7,8,medium
1.2,5.2,8,5.6,2,low
9.5,2.2,4,10.0,7,low
4.3,8.1,4,13.9,1,low
3.9,6.0,3,6.1,5,low
7.6,6.2,9,11.3,1,low
0.1,7.0,6,1.8,3,low
2.2,5.3,2,9.1,5,low
7.1,5.3,2,5.5,4,low
4.8,0.9,9,4.9,3,low
3.7,4.5,10,13.6,2,low
8.6,2.4,4,2.1,2,low
3.1,3.5,4,12.0,3,low
7.9,5.9,9,9.4,4,medium
1.0,7.6,4,6.7,3,low
7.4,1.4,4,4.2,5,low
7.5,4.7,6,3.4,4,medium
1.8,7.0,4,0.7,2,low
0.5,6.8,5,2.1,6,low
6.5,2.4,9,13.3,1,low
2.3,1.3,9,9.1,4,low
7.1,9.1,7,3.6,8,medium
7.0,6.5,3,13.8,6,low
6.4,3.5,4,12.0,4,low
6.0,9.1,2,1.6,3,low
3.5,5.5,5,3.6,6,low
3.1,4.3,5,5.6,7,low
5.2,0.1,2,12.0,7,low
2.4,6.1,1,2.8,2,low
5.5,10.0,9,11.4,3,medium
6.6,9.2,4,4.2,5,medium
5.3,0.2,10,13.7,3,low
8.4,3.0,3,8.7,2,low
8.8,6.9,2,13.4,1,low
0.7,6.2,8,11.9,7,low
9.9,0.1,6,9.6,1,low
4.0,2.0,7,5.5,6,low
8.1,4.7,10,7.9,3,medium
8.4,4.0,9,8.8,5,medium
5.6,0.9,10,2.7,2,medium
4.1,2.1,1,13.1,1,low
3.6,1.3,2,2.7,1,low
5.6,3.4,2,6.1,2,low
5.4,7.9,6,5.8,8,medium
9.1,2.0,5,8.9,4,low
5.5,2.7,1,10.1,6,low
5.4,1.2,1,5.6,4,low
1.9,1.7,8,8.7,8,low
4.7,8.5,7,12.9,3,low
5.8,6.8,1,3.1,8,low
6.9,3.0,5,2.3,8,medium
9.6,2.1,7,2.6,6,medium
4.1,5.7,9,8.4,7,medium
1.8,4.3,7,3.4,1,low
5.6,5.6,7,3.4,1,low
9.8,4.2,4,9.6,7,low
0.1,5.6,8,6.3,3,low
4.3,2.1,5,12.6,6,low
2.2,6.1,6,3.6,4,low
3.6,5.5,9,0.5,4,medium
6.5,1.7,7,1.9,2,low
9.9,7.6,2,6.7,6,low
7.7,4.4,2,3.0,4,low
2.0,3.9,10,13.8,7,low
6.9,2.3,4,3.1,4,low
6.7,1.1,8,4.0,8,medium
7.6,2.2,1,12.9,3,low
0.7,5.4,9,6.2,2,low
1.9,9.3,7,3.8,7,medium
7.1,7.1,5,7.8,2,low
1.4,5.2,8,13.1,4,low
5.7,4.2,9,6.5,2,low
4.9,2.8,7,9.4,6,low
3.1,0.8,3,0.5,1,low
2.3,5.8,1,8.0,8,low
8.4,0.4,4,7.9,1,low
8.5,2.8,3,3.4,8,medium
