study_hours,screen_time,stress_level,physical_activity,number_of_courses,mbi_burnout_score
1.1847163282964093,11.273575685115205,1,16.60269460191784,2,6.15
1.7458338540375549,5.8677314562570375,2,19.107778668168084,2,7.14
4.458939233449919,2.223399535498243,4,11.93246107558979,4,8.35
1.6156138802325488,3.439661913614788,2,19.171336785074764,6,8.66
2.230241692634918,2.290503382652532,6,16.74342552363089,2,8.88
1.4569533366683012,2.389694332909142,1,9.130707367552164,6,9.23
4.802287914440938,2.577002450208193,1,19.087331641729428,6,9.55
1.9205999288720337,5.4913586988624,1,3.1563554592427057,2,9.65
4.096965101044267,3.953204114809302,3,13.299196778903596,2,9.82
3.8324903456600654,3.1700152808178546,1,19.214267393046136,2,9.87
5.135212205201559,2.9354394489458637,2,12.619991839236375,5,10.43
1.648232535407201,3.670333941494002,2,15.559928059307811,2,10.76
2.5025769589940565,2.1327464075116644,4,17.33915792365911,3,10.93
5.617875534775154,7.253707562261782,4,16.005474104613082,2,11.19
1.633375176252159,3.359776974477138,2,8.999126967639558,5,11.83
3.8982150343909536,5.3338214114241325,4,16.040131814647026,2,11.89
1.886193225022092,2.168120166190588,6,13.186516489049072,6,11.9
1.9206103527362053,2.447809423441768,2,15.32928348987254,3,12.06
1.261512979050838,6.91246328601604,6,10.593369281800506,2,12.1
2.392142015947336,3.698317724165138,2,15.88855437705922,6,12.28
2.5705862246331126,6.831547145749308,2,18.663497894306403,5,12.44
11.097172041114796,2.9216844788476903,2,16.67735826840137,2,12.6
5.216324149498309,10.658037496625877,2,0.7778283076597892,2,12.94
5.632736549643726,2.396605355770693,2,16.32538558625136,7,13.2
3.687979379696318,6.723581098539862,1,13.854525649491096,2,13.23
4.764832017663365,10.604916883508643,1,18.98677853252413,7,13.27
7.143273751847806,4.972676054382807,8,18.790910363978327,3,13.31
5.486445456498366,6.715688545466863,2,17.40078284365885,5,13.4
2.1629079064851644,4.244454279352379,4,15.370077399813551,4,13.45
1.437733108906908,4.456152443801956,2,11.568054785540191,2,13.52
2.965693541373727,3.959982254863518,4,16.724972858593038,4,13.65
10.240827213062952,3.310880373351895,2,3.4173429859484084,5,13.73
2.8394625414089667,7.258265116578601,1,19.313267877166737,8,13.92
4.359509130527671,6.482190058676252,5,13.565047861297312,4,14.09
4.000641345949323,5.167870385288413,3,15.088359352611873,3,14.09
1.4708387090230148,2.298516818833489,3,9.30477705894127,2,14.27
4.039976798052683,3.482003328564118,7,19.576812349845,4,14.3
1.8248856417964725,3.602302132644073,1,7.705847960712764,5,14.33
7.053848001018424,5.338723098590495,2,10.383576060409888,3,14.33
1.0308137733391898,5.346581476991306,4,18.589290416166,7,14.33
8.038921871640655,4.211303661034747,2,11.133399053371155,2,14.38
3.6507245283942873,8.122674862186955,2,9.148479198501857,5,14.41
1.4991044995941398,2.653393775375245,1,3.797640690945694,4,14.53
5.42521562398125,5.017223101312927,2,8.031324512218728,2,14.54
9.280327192275882,2.501404231368789,2,10.065475526434106,2,14.6
1.1515299890441344,11.976660378746578,2,10.333134693677348,2,14.65
11.763349507911489,2.466748838673667,1,11.561594259662868,2,14.66
4.371670784493398,4.388130987261987,2,6.410925893639387,2,14.73
8.154654362126086,13.539660993293396,2,16.09638010194256,2,14.86
3.144691024718673,3.6676700370154554,4,6.397827695780551,5,14.88
3.4418942893689186,9.619614579497064,2,18.212973877095653,7,15.0
2.6880634827106378,4.564513602699247,5,17.366342202705233,2,15.05
3.3379917822680034,4.279529977862871,4,10.340305437353551,7,15.06
9.070499151990017,3.881210029387444,1,10.040347927902353,4,15.14
8.001804601473651,2.814260858972856,3,14.600274756043286,6,15.18
3.1743473739007038,8.936657257652584,2,14.888461402353832,8,15.18
